AC,AF,AHCh,AHh,AR,AS,AST,AY,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,AwayTeam,B365<2.5,B365>2.5,B365A,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,BSA,BSD,BSH,BWA,BWCA,BWCD,BWCH,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,FTAG,FTHG,FTR,GBA,GBD,GBH,HC,HF,HR,HS,HST,HTAG,HTHG,HTR,HY,HomeTeam,IWA,IWCA,IWCD,IWCH,IWD,IWH,LBA,LBD,LBH,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,PSA,PSCA,PSCD,PSCH,PSD,PSH,SBA,SBD,SBH,SJA,SJD,SJH,Season,Time,Unnamed: 70,Unnamed: 71,Unnamed: 72,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH
8.0,17.0,,,0.0,13.0,3.0,3.0,,,,,,,,,,,,,,,Cesena,,,13.0,,,,,,,,,,4.75,1.29,12.0,5.0,1.25,10.0,,,,4.75,1.3,33.0,14.0,-1.25,2.02,1.76,10.6,2.01,1.86,4.95,1.29,2.1,1.84,13.0,2.05,1.9,5.4,1.35,30.0,28/08/10,I1,0.0,0.0,D,9.0,5.0,1.3,10.0,11.0,0.0,24.0,5.0,0.0,0.0,D,3.0,Roma,10.0,,,,5.0,1.25,11.0,5.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.7,1.29,12.0,5.5,1.25,10-11,,,,,9.0,,,,4.75,1.33,11.0,,,,5.25,1.22
3.0,15.0,,,0.0,9.0,4.0,3.0,,,,,,,,,,,,,,,Genoa,,,3.1,,,,,,,,,,3.1,2.4,2.88,3.2,2.38,3.1,,,,3.1,2.3,34.0,23.0,0.0,1.84,1.93,3.01,2.12,1.68,3.12,2.41,1.93,2.02,3.22,2.23,1.75,3.25,2.54,30.0,28/08/10,I1,1.0,0.0,A,3.0,3.1,2.35,9.0,12.0,0.0,14.0,6.0,0.0,0.0,D,2.0,Udinese,2.8,,,,3.1,2.4,2.88,3.0,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,3.2,2.25,3.0,3.2,2.4,10-11,,,,,2.88,,,,3.1,2.5,3.0,,,,3.1,2.3
4.0,12.0,,,0.0,18.0,2.0,2.0,,,,,,,,,,,,,,,Juventus,,,1.91,,,,,,,,,,3.25,4.33,2.0,3.2,3.75,1.95,,,,3.3,3.8,35.0,17.0,0.0,1.7,2.1,1.98,1.41,2.72,3.23,3.94,1.75,2.25,2.1,1.5,3.0,3.4,4.46,29.0,29/08/10,I1,0.0,1.0,H,1.95,3.3,3.8,7.0,14.0,0.0,20.0,5.0,0.0,1.0,H,1.0,Bari,2.1,,,,3.2,3.2,1.91,3.1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.95,3.2,3.6,2.0,3.2,4.0,10-11,,,,,2.0,,,,3.12,3.8,2.0,,,,3.3,3.75
4.0,18.0,,,0.0,11.0,4.0,2.0,,,,,,,,,,,,,,,Catania,,,3.5,,,,,,,,,,3.1,2.2,3.4,3.1,2.15,3.7,,,,2.9,2.15,35.0,21.0,0.0,1.65,2.17,3.45,2.4,1.54,3.07,2.2,1.72,2.33,3.75,2.55,1.63,3.3,2.33,25.0,29/08/10,I1,1.0,2.0,H,3.6,3.0,2.15,4.0,18.0,0.0,11.0,7.0,1.0,1.0,D,0.0,Chievo,3.4,,,,3.0,2.1,3.2,3.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,3.0,2.1,3.6,3.0,2.2,10-11,,,,,3.4,,,,2.88,2.3,3.5,,,,3.15,2.05
6.0,16.0,,,1.0,12.0,2.0,4.0,,,,,,,,,,,,,,,Napoli,,,3.3,,,,,,,,,,3.1,2.3,3.0,3.1,2.4,3.1,,,,3.1,2.3,35.0,21.0,0.0,1.75,2.03,3.18,2.23,1.61,3.12,2.3,1.82,2.11,3.57,2.43,1.67,3.3,2.4,29.0,29/08/10,I1,1.0,1.0,D,3.1,3.1,2.3,7.0,18.0,1.0,19.0,8.0,1.0,0.0,A,2.0,Fiorentina,3.1,,,,3.1,2.2,3.0,3.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.1,2.25,3.2,3.2,2.3,10-11,,,,,3.3,,,,3.12,2.2,3.1,,,,3.1,2.2
3.0,13.0,,,0.0,13.0,3.0,1.0,,,,,,,,,,,,,,,Lecce,,,11.0,,,,,,,,,,4.5,1.33,10.0,4.5,1.33,10.0,,,,4.6,1.31,36.0,14.0,0.0,1.9,1.86,9.83,7.75,1.06,4.72,1.32,1.99,1.94,11.52,9.0,1.08,5.21,1.37,31.0,29/08/10,I1,0.0,4.0,H,10.0,4.5,1.33,6.0,16.0,0.0,26.0,13.0,0.0,3.0,H,0.0,Milan,8.5,,,,4.8,1.3,9.0,4.33,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.75,1.29,11.0,5.0,1.3,10-11,,,,,10.0,,,,4.75,1.3,9.5,,,,4.75,1.29
1.0,20.0,,,0.0,14.0,3.0,3.0,,,,,,,,,,,,,,,Cagliari,,,5.5,,,,,,,,,,3.25,1.73,5.0,3.4,1.73,4.85,,,,3.27,1.75,35.0,16.0,0.0,1.8,1.95,5.07,3.58,1.26,3.44,1.72,1.92,2.02,5.61,3.82,1.3,3.81,1.77,27.0,29/08/10,I1,0.0,0.0,D,4.75,3.4,1.75,8.0,12.0,0.0,13.0,4.0,0.0,0.0,D,0.0,Palermo,4.5,,,,3.4,1.7,4.5,3.3,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,3.4,1.75,5.0,3.4,1.75,10-11,,,,,5.0,,,,3.4,1.73,5.0,,,,3.25,1.7
6.0,14.0,,,0.0,14.0,3.0,3.0,,,,,,,,,,,,,,,Brescia,,,4.75,,,,,,,,,,3.25,1.83,4.33,3.25,1.83,4.65,,,,3.2,1.8,36.0,17.0,0.0,1.69,2.1,4.7,3.22,1.31,3.25,1.81,1.76,2.2,5.35,3.44,1.36,3.41,1.86,27.0,29/08/10,I1,0.0,2.0,H,4.5,3.3,1.8,3.0,24.0,0.0,18.0,9.0,0.0,2.0,H,0.0,Parma,4.0,,,,3.4,1.8,4.5,3.3,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,3.2,1.8,5.0,3.25,1.8,10-11,,,,,4.75,,,,3.2,1.8,4.6,,,,3.25,1.75
5.0,24.0,,,0.0,18.0,1.0,4.0,,,,,,,,,,,,,,,Lazio,,,3.75,,,,,,,,,,3.1,2.1,3.3,3.1,2.2,3.5,,,,3.1,2.1,36.0,21.0,0.0,1.74,2.04,3.42,2.4,1.54,3.11,2.19,1.83,2.17,3.75,2.5,1.65,3.25,2.31,28.0,29/08/10,I1,0.0,2.0,H,3.5,3.2,2.1,3.0,9.0,0.0,11.0,4.0,0.0,0.0,D,1.0,Sampdoria,3.3,,,,3.1,2.1,3.5,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.2,2.05,3.6,3.2,2.1,10-11,,,,,3.5,,,,3.0,2.15,3.6,,,,3.15,2.0
7.0,16.0,,,0.0,22.0,7.0,2.0,,,,,,,,,,,,,,,Inter,,,1.62,,,,,,,,,,3.5,6.25,1.62,3.5,6.0,1.6,,,,3.4,6.1,34.0,15.0,0.0,1.8,1.97,1.62,1.19,4.2,3.51,5.99,1.88,2.06,1.68,1.25,4.75,3.72,6.5,30.0,30/08/10,I1,0.0,0.0,D,1.6,3.5,6.0,2.0,20.0,0.0,9.0,3.0,0.0,0.0,D,3.0,Bologna,1.6,,,,3.6,5.0,1.57,3.25,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57,3.4,6.0,1.6,3.5,6.5,10-11,,,,,1.62,,,,3.4,6.0,1.57,,,,3.4,6.0
